latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.7583,-44.6269,497.3,1.2,1.1,2021-09-16,1651,Aqua,MODIS,100,6.03,400.1,1997.0,D,0
-8.4534,-55.2534,497.2,1.0,1.0,2021-08-18,1723,Aqua,MODIS,100,6.03,400.1,1546.0,D,0
-3.4995,-47.7481,496.6,1.1,1.0,2021-02-06,1641,Aqua,MODIS,100,6.03,324.9,1703.3,D,0
-11.41,-43.6495,496.3,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1533.1,D,0
-9.8747,-43.679,495.3,3.3,1.7,2021-09-21,1710,Aqua,MODIS,100,6.03,328.2,8395.6,D,0
-6.5376,-53.1783,495.0,1.0,1.0,2021-08-04,1711,Aqua,MODIS,100,6.03,339.7,1479.4,D,0
-11.397,-43.6232,494.9,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1496.2,D,0
-11.4087,-43.6403,494.5,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1486.2,D,0
-6.579,-53.2164,494.4,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,333.3,2114.3,D,0
-9.0958,-43.1145,494.2,1.0,1.0,2021-09-11,1633,Aqua,MODIS,100,6.03,400.1,1457.1,D,0
-6.9212,-59.762,493.9,1.0,1.0,2021-07-31,1736,Aqua,MODIS,100,6.03,333.1,1471.2,D,0
-19.4184,-49.0738,493.7,1.0,1.0,2021-09-05,1708,Aqua,MODIS,100,6.03,400.1,1518.1,D,0
-15.0033,-43.2444,493.6,1.3,1.1,2021-09-16,1650,Aqua,MODIS,100,6.03,340.0,2124.5,D,0
-2.821,-52.9517,493.4,1.8,1.3,2021-09-25,1648,Aqua,MODIS,94,6.03,309.1,3394.6,D,0
-6.3015,-45.4164,492.9,1.3,1.1,2021-05-27,1653,Aqua,MODIS,100,6.03,400.1,2033.1,D,0
-13.8216,-59.719,492.8,1.0,1.0,2021-05-19,1740,Aqua,MODIS,100,6.03,339.1,1443.6,D,0
-11.4546,-43.4982,492.4,1.2,1.1,2021-09-25,1645,Aqua,MODIS,100,6.03,338.1,1744.7,D,0
-5.335,-39.6671,492.4,1.6,1.2,2021-10-29,1634,Aqua,MODIS,94,6.03,324.4,2724.4,D,0
-8.9659,-65.9572,492.4,1.2,1.1,2021-08-05,1754,Aqua,MODIS,94,6.03,322.5,1806.6,D,0
-10.0759,-43.6961,491.8,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,1658.1,D,0
-9.5899,-64.1682,491.8,1.0,1.0,2021-08-12,1800,Aqua,MODIS,100,6.03,329.2,1431.8,D,0
-11.4683,-43.7382,491.1,1.0,1.0,2021-10-04,1639,Aqua,MODIS,100,6.03,400.1,1405.7,D,0
-10.1023,-44.1877,490.8,1.9,1.4,2021-09-22,1615,Aqua,MODIS,100,6.03,400.1,3645.3,D,0
-13.8951,-59.6758,490.3,1.0,1.0,2021-06-04,1740,Aqua,MODIS,100,6.03,400.1,1389.9,D,0
-11.4109,-43.7735,489.8,1.2,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,1712.0,D,0
-6.4147,-53.3581,489.6,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,331.6,2011.3,D,0
-8.1806,-55.4417,489.1,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,400.1,1756.6,D,0
-9.1619,-66.0144,489.1,1.3,1.2,2021-08-01,1818,Aqua,MODIS,100,6.03,327.9,2097.7,D,0
-6.4351,-53.3554,488.7,1.3,1.1,2021-08-06,1659,Aqua,MODIS,100,6.03,327.2,1983.5,D,0
-11.2919,-42.5735,488.0,1.5,1.2,2021-09-22,1615,Aqua,MODIS,100,6.03,400.1,2481.0,D,0
-16.9322,-58.3701,487.6,1.0,1.0,2021-08-23,1739,Aqua,MODIS,100,6.03,338.7,1314.1,D,0
-6.6901,-55.8318,487.6,1.1,1.1,2021-08-04,1415,Terra,MODIS,100,6.03,326.9,1619.4,D,0
-6.4636,-53.1714,487.5,1.1,1.0,2021-08-11,1717,Aqua,MODIS,100,6.03,329.6,1446.9,D,0
-10.4522,-64.2826,487.2,1.0,1.0,2021-08-12,1800,Aqua,MODIS,100,6.03,330.0,1319.6,D,0
-3.8228,-54.1247,487.2,1.0,1.0,2021-10-14,1718,Aqua,MODIS,100,6.03,321.4,1379.7,D,0
-11.5608,-56.4811,487.0,1.1,1.0,2021-08-16,1735,Aqua,MODIS,100,6.03,400.1,1461.1,D,0
-8.1615,-55.4282,486.8,1.5,1.2,2021-08-13,1705,Aqua,MODIS,100,6.03,330.6,2352.3,D,0
-14.9723,-41.6886,486.6,1.0,1.0,2021-09-11,1632,Aqua,MODIS,100,6.03,335.6,1301.9,D,0
-20.9358,-48.1736,486.2,1.0,1.0,2021-08-22,1655,Aqua,MODIS,100,6.03,338.9,1371.9,D,0
-7.5563,-61.3957,486.1,1.2,1.1,2021-08-05,1754,Aqua,MODIS,94,6.03,333.6,1584.8,D,0
-11.521,-43.477,486.0,3.2,1.7,2021-09-21,1710,Aqua,MODIS,100,6.03,337.8,6906.5,D,0
-4.0646,-50.8895,485.8,1.0,1.0,2021-08-29,1706,Aqua,MODIS,100,6.03,323.5,1363.1,D,0
